"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Slc22a17",1.16823536188904e-05,0.730055043707019,0.737,0.105,0.362772126927405,"1","Slc22a17"
"Arpp21",1.218007761192e-05,4.04525598389953,0.526,0.026,0.378227950082951,"1","Arpp21"
"Rufy3",1.21977745392239e-05,1.85533065638043,0.789,0.158,0.378777492766519,"1","Rufy3"
"G3bp2",1.25746639267067e-05,2.04697437526574,0.842,0.184,0.390481038916023,"1","G3bp2"
"Serinc1",1.28348566826114e-05,2.71458906486027,0.684,0.132,0.398560804565132,"1","Serinc1"
"Cited2",1.3628386222928e-05,3.65014954183961,0.526,0.026,0.423202277380583,"1","Cited2"
"Ndn",1.37248357878887e-05,1.65129994800578,0.842,0.184,0.426197325721309,"1","Ndn"
"Kif21b",1.51949268254044e-05,1.42708463949327,0.684,0.079,0.471848062709283,"1","Kif21b"
"Sptbn1",1.52400809040279e-05,3.22066626294012,0.526,0.026,0.473250232312778,"1","Sptbn1"
"Vamp2",1.52400809040279e-05,3.03481445285862,0.526,0.026,0.473250232312778,"1","Vamp2"
"Trio",1.52400809040279e-05,3.34297857708074,0.526,0.026,0.473250232312778,"1","Trio"
"Shtn1",1.52400809040279e-05,3.62680937302597,0.526,0.026,0.473250232312778,"1","Shtn1"
"Luc7l2",1.53141186110418e-05,1.50255776193162,0.947,0.316,0.475549325228681,"1","Luc7l2"
"Rsrp1",1.53535645778533e-05,1.50659606374531,0.947,0.342,0.476774240836078,"1","Rsrp1"
"Kif5a",1.5687752660505e-05,2.6091500998919,0.579,0.053,0.487151783366663,"1","Kif5a"
"mt-Nd4",1.65740488691249e-05,1.37326736665277,0.947,0.447,0.514673939532935,"1","mt-Nd4"
"Rab3a",1.66918060943716e-05,2.56780690182994,0.632,0.079,0.51833065464852,"1","Rab3a"
"Frmd4a",1.69792944323434e-05,3.05537277522812,0.684,0.132,0.52725803000756,"1","Frmd4a"
"Cdc42bpa",1.70325107353288e-05,2.71144017663457,0.526,0.026,0.528910555864164,"1","Cdc42bpa"
"Chl1",1.70325107353288e-05,1.79077949835367,0.526,0.026,0.528910555864164,"1","Chl1"
"Mir124a-1hg",1.70325107353288e-05,2.77705342152362,0.526,0.026,0.528910555864164,"1","Mir124a-1hg"
"Cep70",1.70325107353288e-05,2.75014146356574,0.526,0.026,0.528910555864164,"1","Cep70"
"Nell2",1.70325107353288e-05,2.76842986765159,0.526,0.026,0.528910555864164,"1","Nell2"
"Cd200",1.70325107353288e-05,2.57822872602689,0.526,0.026,0.528910555864164,"1","Cd200"
"Epha3",1.70325107353288e-05,3.00336023437991,0.526,0.026,0.528910555864164,"1","Epha3"
"Pdcd4",1.70325107353288e-05,0.617044523869175,0.526,0.026,0.528910555864164,"1","Pdcd4"
"Sox11",1.72393722287972e-05,1.52280379439974,1,0.421,0.535334225820838,"1","Sox11"
"Akap9",1.73730345700484e-05,1.5537015580529,0.842,0.158,0.539484842503713,"1","Akap9"
"Srcin1",1.74088262352298e-05,2.61572643780639,0.579,0.053,0.540596281082591,"1","Srcin1"
"Clip3",1.84194214266766e-05,2.61681923658755,0.632,0.079,0.571978293562588,"1","Clip3"
"Map4k4",1.88816158970458e-05,1.59183553277303,0.895,0.237,0.586330818450963,"1","Map4k4"
"Ogt",2.14744233133385e-05,1.26077040683285,0.947,0.237,0.666845267149102,"1","Ogt"
"Cntn2",2.17445675004934e-05,7.27026965835227,0.421,0,0.675234054592822,"1","Cntn2"
"Frmd5",2.17445675004934e-05,5.82661117880433,0.421,0,0.675234054592822,"1","Frmd5"
"Pak7",2.17445675004934e-05,5.43894454256655,0.421,0,0.675234054592822,"1","Pak7"
"Rab33a",2.17445675004934e-05,5.44436898253194,0.421,0,0.675234054592822,"1","Rab33a"
"Epha7",2.17445675004934e-05,6.00921922762441,0.421,0,0.675234054592822,"1","Epha7"
"Rab6a",2.17445675004934e-05,6.01976454448161,0.421,0,0.675234054592822,"1","Rab6a"
"Glg1",2.17445675004934e-05,6.12040245117138,0.421,0,0.675234054592822,"1","Glg1"
"Sh3bp5",2.17445675004934e-05,6.05765049695335,0.421,0,0.675234054592822,"1","Sh3bp5"
"Ssh2",2.17445675004934e-05,5.77238496753278,0.421,0,0.675234054592822,"1","Ssh2"
"Pcyt2",2.17445675004934e-05,5.51611160365845,0.421,0,0.675234054592822,"1","Pcyt2"
"Wnk2",2.17445675004934e-05,5.95493934350407,0.421,0,0.675234054592822,"1","Wnk2"
"Lpin1",2.17445675004934e-05,5.52028204580693,0.421,0,0.675234054592822,"1","Lpin1"
"Ankmy2",2.17445675004934e-05,5.32716181377477,0.421,0,0.675234054592822,"1","Ankmy2"
"Fbxl16",2.17445675004934e-05,5.99213698873827,0.421,0,0.675234054592822,"1","Fbxl16"
"Adgrl1",2.2312703561898e-05,1.23823938452668,0.684,0.079,0.692876383707618,"1","Adgrl1"
"Cenpv",2.26410820842332e-05,2.07710325068263,0.684,0.105,0.703073521961694,"1","Cenpv"
