"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Panx1",0.000731945316061139,2.33048451835361,0.368,0.026,1,"1","Panx1"
"Scg3",0.000731945316061139,3.2520944813503,0.368,0.026,1,"1","Scg3"
"Vcan",0.000731945316061139,2.95851873242158,0.368,0.026,1,"1","Vcan"
"Zc3h7b",0.000731945316061139,3.61200730273754,0.368,0.026,1,"1","Zc3h7b"
"2900011O08Rik",0.000731945316061139,2.32206438355967,0.368,0.026,1,"1","2900011O08Rik"
"Gm26917",0.000731945316061139,2.96303305518052,0.368,0.026,1,"1","Gm26917"
"Zfp445",0.000734606282008501,1.44394476782952,0.579,0.105,1,"1","Zfp445"
"Mettl9",0.000762285086448803,1.08278696054691,0.737,0.184,1,"1","Mettl9"
"Cbr1",0.000771260168497668,0.157701582399715,0.526,0.079,1,"1","Cbr1"
"Fopnl",0.000777737415966697,2.10251962580351,0.474,0.079,1,"1","Fopnl"
"Cdk5",0.000785238625741331,2.34864775082396,0.421,0.053,1,"1","Cdk5"
"Kdm2b",0.000785238625741331,2.60896007695393,0.421,0.053,1,"1","Kdm2b"
"Fzd3",0.000785238625741331,2.18397780801231,0.421,0.053,1,"1","Fzd3"
"Ptprs",0.000796731093471481,0.995502793785362,1,0.316,1,"1","Ptprs"
"Prkar1a",0.000809439644232655,1.69233967927026,0.632,0.184,1,"1","Prkar1a"
"Rabgap1",0.000810168026154705,1.49688121702591,0.368,0.026,1,"1","Rabgap1"
"Sv2a",0.000810168026154705,2.3598322528271,0.368,0.026,1,"1","Sv2a"
"Pou3f1",0.000810168026154705,2.64053914158762,0.368,0.026,1,"1","Pou3f1"
"Acap3",0.000810168026154705,0.591782938863472,0.368,0.026,1,"1","Acap3"
"Hectd4",0.000810168026154705,1.34124673110651,0.368,0.026,1,"1","Hectd4"
"Itpr1",0.000810168026154705,2.43826739112435,0.368,0.026,1,"1","Itpr1"
"March8",0.000810168026154705,1.55622998063739,0.368,0.026,1,"1","March8"
"Phc1",0.000810168026154705,2.0024775243072,0.368,0.026,1,"1","Phc1"
"Nsmce3",0.000810168026154705,2.02645671161701,0.368,0.026,1,"1","Nsmce3"
"Fam241b",0.000810168026154705,2.09591286653798,0.368,0.026,1,"1","Fam241b"
"Lrp1",0.000810168026154705,2.78223613550566,0.368,0.026,1,"1","Lrp1"
"Zfp358",0.000810168026154705,1.20626916843482,0.368,0.026,1,"1","Zfp358"
"Map2k7",0.000810168026154705,2.0045943323941,0.368,0.026,1,"1","Map2k7"
"Fgfr1",0.000810168026154705,1.41210029873615,0.368,0.026,1,"1","Fgfr1"
"Rnf122",0.000810168026154705,2.79399175664537,0.368,0.026,1,"1","Rnf122"
"Cmip",0.000810168026154705,1.71782012442008,0.368,0.026,1,"1","Cmip"
"Nipsnap1",0.000810168026154705,2.65929501454491,0.368,0.026,1,"1","Nipsnap1"
"Nlgn2",0.000810168026154705,1.85627847396227,0.368,0.026,1,"1","Nlgn2"
"Irf2bpl",0.000810168026154705,1.06123228715675,0.368,0.026,1,"1","Irf2bpl"
"Ccdc88c",0.000810168026154705,2.89202830952621,0.368,0.026,1,"1","Ccdc88c"
"Pou6f1",0.000810168026154705,2.29063537310149,0.368,0.026,1,"1","Pou6f1"
"Poglut1",0.000810168026154705,1.92175546360682,0.368,0.026,1,"1","Poglut1"
"Cryzl1",0.000810168026154705,1.04566499123164,0.368,0.026,1,"1","Cryzl1"
"Pfdn2",0.000819089619766516,1.71378417709023,0.684,0.184,1,"1","Pfdn2"
"Tbl1x",0.000847340104446266,2.24002715825846,0.474,0.079,1,"1","Tbl1x"
"Ahsa2",0.000847340104446266,2.65087309041357,0.474,0.079,1,"1","Ahsa2"
"Smarcb1",0.000851984789088175,0.693243001818758,0.895,0.237,1,"1","Smarcb1"
"Eif1b",0.000858116425412693,1.24255402594691,0.895,0.289,1,"1","Eif1b"
"Ubqln2",0.000860322900875206,1.34314631666089,0.579,0.105,1,"1","Ubqln2"
"Hp1bp3",0.000860322900875206,0.842252327377373,0.579,0.105,1,"1","Hp1bp3"
"Tspyl4",0.000860971270797517,1.68367025232256,0.421,0.053,1,"1","Tspyl4"
"Ssr1",0.000860971270797517,2.43886023860145,0.421,0.053,1,"1","Ssr1"
"Eef1e1",0.000860971270797517,2.06582671151443,0.421,0.053,1,"1","Eef1e1"
"Otub1",0.000860971270797517,2.8762554117137,0.421,0.053,1,"1","Otub1"
"Mat2a",0.000866023714883423,1.49320029419734,0.737,0.211,1,"1","Mat2a"
"Jkamp",0.00087672634472441,1.36180088180489,0.526,0.105,1,"1","Jkamp"
"Atat1",0.00087787302066023,1.03787801474467,0.737,0.184,1,"1","Atat1"
"Trappc3",0.000922682952903241,2.22580884247241,0.474,0.079,1,"1","Trappc3"
"Mybbp1a",0.000922682952903241,1.66209074720429,0.474,0.079,1,"1","Mybbp1a"
"Nbr1",0.000922682952903241,1.5425056862249,0.474,0.079,1,"1","Nbr1"
"Rbfox3",0.000922682952903241,2.23754348107243,0.474,0.079,1,"1","Rbfox3"
"Pcmtd1",0.000943430185745039,1.14250033324258,0.421,0.053,1,"1","Pcmtd1"
"B4galt2",0.000943430185745039,2.35640890582301,0.421,0.053,1,"1","B4galt2"
"Mycl",0.000943430185745039,0.998317413331407,0.421,0.053,1,"1","Mycl"
"Rps6kb1",0.000943430185745039,2.71027772963747,0.421,0.053,1,"1","Rps6kb1"
"Mapre1",0.000958493775167493,0.837626743046179,0.842,0.237,1,"1","Mapre1"
"Smc3",0.000965270276961785,1.63639935945121,0.579,0.132,1,"1","Smc3"
"Raf1",0.000983257353061916,1.63779115450449,0.632,0.158,1,"1","Raf1"
"Ubald2",0.00100128005264566,0.130380229168483,0.789,0.237,1,"1","Ubald2"
"Tmed9",0.00101956535075959,0.558642739439141,0.632,0.132,1,"1","Tmed9"
"Kmt5b",0.00101956535075959,0.765415712595782,0.632,0.132,1,"1","Kmt5b"
"Rasal2",0.00102873356104711,1.88146539266525,0.526,0.105,1,"1","Rasal2"
"Rbm6",0.00102873356104711,1.8979263142429,0.526,0.105,1,"1","Rbm6"
"Igsf3",0.00103315424839982,2.23972234283255,0.421,0.053,1,"1","Igsf3"
"Shd",0.00103315424839982,2.48016337653896,0.421,0.053,1,"1","Shd"
"Dync1i2",0.00107049742253665,0.86254646560305,0.789,0.237,1,"1","Dync1i2"
"Nmt2",0.00109232650155756,1.70995091969813,0.474,0.079,1,"1","Nmt2"
"Atf2",0.00109232650155756,2.06597589939235,0.474,0.079,1,"1","Atf2"
"Mon2",0.00109232650155756,1.71066954464833,0.474,0.079,1,"1","Mon2"
"Ldb1",0.00109232650155756,1.78255666123949,0.474,0.079,1,"1","Ldb1"
"Rb1cc1",0.00109794041780602,0.997335191987118,0.632,0.132,1,"1","Rb1cc1"
"Pcbp2",0.00110857244588705,1.02500255393628,0.842,0.263,1,"1","Pcbp2"
"Xkr4",0.00111419166995675,4.89205103291318,0.263,0,1,"1","Xkr4"
"Erbb4",0.00111419166995675,5.24889605323749,0.263,0,1,"1","Erbb4"
"Dner",0.00111419166995675,5.0988920881671,0.263,0,1,"1","Dner"
"Cxcr4",0.00111419166995675,4.83214184784155,0.263,0,1,"1","Cxcr4"
"Lhx6",0.00111419166995675,6.68918831574199,0.263,0,1,"1","Lhx6"
"Gad1",0.00111419166995675,5.96373637169441,0.263,0,1,"1","Gad1"
"Ctnnd1",0.00111419166995675,4.9345419987621,0.263,0,1,"1","Ctnnd1"
"Emc4",0.00111419166995675,5.02440921420835,0.263,0,1,"1","Emc4"
"Cds2",0.00111419166995675,5.41532337093538,0.263,0,1,"1","Cds2"
"Flrt3",0.00111419166995675,5.12516013320427,0.263,0,1,"1","Flrt3"
"Rrbp1",0.00111419166995675,5.25576792294717,0.263,0,1,"1","Rrbp1"
"Slc32a1",0.00111419166995675,4.5962103599399,0.263,0,1,"1","Slc32a1"
"Phactr3",0.00111419166995675,4.88553908884318,0.263,0,1,"1","Phactr3"
"Zfp512b",0.00111419166995675,5.227803270771,0.263,0,1,"1","Zfp512b"
"Ftsj1",0.00111419166995675,4.9112962835796,0.263,0,1,"1","Ftsj1"
"Wnk3",0.00111419166995675,4.57307048310058,0.263,0,1,"1","Wnk3"
"Ppm1l",0.00111419166995675,4.53361903607767,0.263,0,1,"1","Ppm1l"
"Zfp697",0.00111419166995675,4.85451952894186,0.263,0,1,"1","Zfp697"
"Nkain3",0.00111419166995675,5.68565366999721,0.263,0,1,"1","Nkain3"
"Faap20",0.00111419166995675,4.60851202683127,0.263,0,1,"1","Faap20"
"Cdk14",0.00111419166995675,5.65626384056271,0.263,0,1,"1","Cdk14"
"Ptpn12",0.00111419166995675,5.09856336712158,0.263,0,1,"1","Ptpn12"
"Letm1",0.00111419166995675,4.69721836061819,0.263,0,1,"1","Letm1"
"Gm42851",0.00111419166995675,4.68094995287857,0.263,0,1,"1","Gm42851"
"Tbc1d14",0.00111419166995675,4.98973966319111,0.263,0,1,"1","Tbc1d14"
"Zfp518b",0.00111419166995675,4.65151436925633,0.263,0,1,"1","Zfp518b"
"Exoc1",0.00111419166995675,4.71093289211713,0.263,0,1,"1","Exoc1"
"Prdm8",0.00111419166995675,5.388483309708,0.263,0,1,"1","Prdm8"
"Rph3a",0.00111419166995675,5.7168155604933,0.263,0,1,"1","Rph3a"
"Naa25",0.00111419166995675,5.30242509479087,0.263,0,1,"1","Naa25"
"Gtf2ird1",0.00111419166995675,5.01297390710114,0.263,0,1,"1","Gtf2ird1"
"Srrm3",0.00111419166995675,4.97121010060993,0.263,0,1,"1","Srrm3"
"Tmem178b",0.00111419166995675,5.24590106309632,0.263,0,1,"1","Tmem178b"
"Avl9",0.00111419166995675,4.80692696861098,0.263,0,1,"1","Avl9"
"Pianp",0.00111419166995675,4.84483904320636,0.263,0,1,"1","Pianp"
"Ccdc91",0.00111419166995675,4.83618663930982,0.263,0,1,"1","Ccdc91"
"Supt5",0.00111419166995675,4.86647160571273,0.263,0,1,"1","Supt5"
"Wtip",0.00111419166995675,4.69106122283626,0.263,0,1,"1","Wtip"
"Iglon5",0.00111419166995675,4.70285394075815,0.263,0,1,"1","Iglon5"
"Ptpn5",0.00111419166995675,5.346012403285,0.263,0,1,"1","Ptpn5"
"Lysmd4",0.00111419166995675,4.90415220427676,0.263,0,1,"1","Lysmd4"
"Tmem135",0.00111419166995675,4.87318462945368,0.263,0,1,"1","Tmem135"
"Ubfd1",0.00111419166995675,5.00329794642926,0.263,0,1,"1","Ubfd1"
"Ppp1r14c",0.00111419166995675,5.06349685055049,0.263,0,1,"1","Ppp1r14c"
"Bcr",0.00111419166995675,4.99742105165583,0.263,0,1,"1","Bcr"
"2610008E11Rik",0.00111419166995675,5.06992130825611,0.263,0,1,"1","2610008E11Rik"
"Osbpl8",0.00111419166995675,4.68775481718809,0.263,0,1,"1","Osbpl8"
"Arhgef18",0.00111419166995675,4.54659928243076,0.263,0,1,"1","Arhgef18"
"Fam155a",0.00111419166995675,4.93280980122498,0.263,0,1,"1","Fam155a"
"Fbxo25",0.00111419166995675,5.13509758399169,0.263,0,1,"1","Fbxo25"
"Dusp4",0.00111419166995675,4.70871948212469,0.263,0,1,"1","Dusp4"
"Mtus1",0.00111419166995675,5.0089626291609,0.263,0,1,"1","Mtus1"
"Unc13a",0.00111419166995675,5.02835369471127,0.263,0,1,"1","Unc13a"
"N4bp1",0.00111419166995675,4.71093289211713,0.263,0,1,"1","N4bp1"
"Maf",0.00111419166995675,6.69623390998891,0.263,0,1,"1","Maf"
"Dbndd1",0.00111419166995675,4.88932390793524,0.263,0,1,"1","Dbndd1"
"Trim67",0.00111419166995675,5.07121173334416,0.263,0,1,"1","Trim67"
"Cacna2d3",0.00111419166995675,4.66130588838042,0.263,0,1,"1","Cacna2d3"
"Gprin2",0.00111419166995675,4.58459170426126,0.263,0,1,"1","Gprin2"
"Zfhx2",0.00111419166995675,4.74905976021467,0.263,0,1,"1","Zfhx2"
"Extl3",0.00111419166995675,4.57180868123888,0.263,0,1,"1","Extl3"
"Tle3",0.00111419166995675,4.85046582933487,0.263,0,1,"1","Tle3"
"Myo5a",0.00111419166995675,5.06601374251858,0.263,0,1,"1","Myo5a"
"Rbms3",0.00111419166995675,5.29087499672494,0.263,0,1,"1","Rbms3"
"Vstm2a",0.00111419166995675,5.12442282739459,0.263,0,1,"1","Vstm2a"
"Gabrg2",0.00111419166995675,5.13513861902188,0.263,0,1,"1","Gabrg2"
"Helz",0.00111419166995675,4.60516081505912,0.263,0,1,"1","Helz"
"Fam208b",0.00111419166995675,5.04298377726942,0.263,0,1,"1","Fam208b"
"Dip2c",0.00111419166995675,4.84851261224161,0.263,0,1,"1","Dip2c"
"Rbm24",0.00111419166995675,5.67806783440512,0.263,0,1,"1","Rbm24"
"Bdp1",0.00111419166995675,5.01016510726902,0.263,0,1,"1","Bdp1"
"Snx18",0.00111419166995675,4.65549720620071,0.263,0,1,"1","Snx18"
"Ldah",0.00111419166995675,4.55782609946777,0.263,0,1,"1","Ldah"
"Rnf144a",0.00111419166995675,4.99518806915599,0.263,0,1,"1","Rnf144a"
"Dcaf5",0.00111419166995675,4.55992003872973,0.263,0,1,"1","Dcaf5"
"Mlh3",0.00111419166995675,4.64566505267624,0.263,0,1,"1","Mlh3"
"Flrt2",0.00111419166995675,5.05381091062819,0.263,0,1,"1","Flrt2"
"Unc79",0.00111419166995675,5.21764497718083,0.263,0,1,"1","Unc79"
"Ago2",0.00111419166995675,4.56594428861969,0.263,0,1,"1","Ago2"
"Mapk8ip2",0.00111419166995675,5.17469929195309,0.263,0,1,"1","Mapk8ip2"
"Ubn1",0.00111419166995675,4.91013056455602,0.263,0,1,"1","Ubn1"
"Dvl3",0.00111419166995675,5.25388611843015,0.263,0,1,"1","Dvl3"
"Zfp760",0.00111419166995675,4.61515151846728,0.263,0,1,"1","Zfp760"
"Fbxl17",0.00111419166995675,4.88702380432902,0.263,0,1,"1","Fbxl17"
"Syt4",0.00111419166995675,6.39549577611472,0.263,0,1,"1","Syt4"
"Map3k2",0.00111419166995675,4.88966601452945,0.263,0,1,"1","Map3k2"
"Jakmip2",0.00111419166995675,4.90744541981441,0.263,0,1,"1","Jakmip2"
"Fbxo38",0.00111419166995675,5.23685123142585,0.263,0,1,"1","Fbxo38"
"Rpp30",0.00111419166995675,5.50967405149416,0.263,0,1,"1","Rpp30"
"Sema4g",0.00111419166995675,5.38957707378867,0.263,0,1,"1","Sema4g"
"Psd",0.00111419166995675,5.37164024580267,0.263,0,1,"1","Psd"
"AC149090.1",0.00111419166995675,5.12664780289275,0.263,0,1,"1","AC149090.1"
"Vps72",0.00112305621441841,1.21937961854704,0.579,0.132,1,"1","Vps72"
"Id2",0.00112305621441841,1.89887759662083,0.579,0.132,1,"1","Id2"
"0610012G03Rik",0.0011370760660527,1.44248900785824,0.632,0.158,1,"1","0610012G03Rik"
"Dync1h1",0.00117365176805769,0.702021998584473,0.579,0.105,1,"1","Dync1h1"
"Prpf19",0.00118185525593317,0.67031297766623,0.632,0.132,1,"1","Prpf19"
"Bex1",0.00118756671786754,1.49308736008135,0.474,0.079,1,"1","Bex1"
"Coa3",0.00118756671786754,0.993455837796747,0.474,0.079,1,"1","Coa3"
"Ankrd12",0.00118756671786754,2.19302342416676,0.474,0.079,1,"1","Ankrd12"
"Lrrfip2",0.00120482511448631,1.02923817324888,0.526,0.105,1,"1","Lrrfip2"
"Csrnp3",0.00123674340053207,2.09029051046474,0.421,0.053,1,"1","Csrnp3"
"Tecpr1",0.00123674340053207,1.49985219497284,0.421,0.053,1,"1","Tecpr1"
"Fry",0.00123674340053207,1.68670128488553,0.421,0.053,1,"1","Fry"
"Atp6v0e2",0.00123674340053207,0.780552481038002,0.421,0.053,1,"1","Atp6v0e2"
"Atp6v0d1",0.0012504857131158,1.72032773315674,0.632,0.211,1,"1","Atp6v0d1"
"Bicd1",0.00129042910005441,2.10835801950459,0.474,0.079,1,"1","Bicd1"
"Large1",0.00129042910005441,1.37511495829463,0.474,0.079,1,"1","Large1"
"Chmp5",0.00130295145867675,1.33275919436818,0.526,0.105,1,"1","Chmp5"
"Zfp638",0.00130295145867675,1.36496476491485,0.526,0.105,1,"1","Zfp638"
"Nav1",0.00130440148586334,1.57315005959385,0.579,0.132,1,"1","Nav1"
"Krit1",0.00130440148586334,1.0560949885851,0.579,0.132,1,"1","Krit1"
"Aprt",0.00130440148586334,1.58307272962353,0.579,0.132,1,"1","Aprt"
"Emc7",0.00131073470610141,3.25809202691334,0.368,0.053,1,"1","Emc7"
"mt-Nd1",0.00131133811891563,0.925382703451348,0.947,0.421,1,"1","mt-Nd1"
"Dhx9",0.0013128822835153,1.70384033057747,0.632,0.158,1,"1","Dhx9"
"Emc10",0.0013128822835153,1.24801082806753,0.632,0.158,1,"1","Emc10"
"Nudt3",0.0013128822835153,0.93123791304787,0.632,0.158,1,"1","Nudt3"
"C87436",0.00135188276171149,1.17201777478533,0.421,0.053,1,"1","C87436"
"Cdkn1c",0.00135188276171149,0.761798303187441,0.421,0.053,1,"1","Cdkn1c"
"Fto",0.00135188276171149,2.21374640539173,0.421,0.053,1,"1","Fto"
"Grip1",0.00140146101468536,1.61990916906126,0.474,0.079,1,"1","Grip1"
"Bptf",0.00140146101468536,1.69463255268207,0.474,0.079,1,"1","Bptf"
"Cnih2",0.00140146101468536,1.34186364332119,0.474,0.079,1,"1","Cnih2"
"Ap2b1",0.00143781646373362,4.00335334152281,0.368,0.053,1,"1","Ap2b1"
"Mvb12b",0.00147684028970558,1.30532442462195,0.421,0.053,1,"1","Mvb12b"
"Ap3d1",0.00147684028970558,0.939494025921426,0.421,0.053,1,"1","Ap3d1"
"Fam171a2",0.00147684028970558,1.41872084557216,0.421,0.053,1,"1","Fam171a2"
"Klhl24",0.00147684028970558,1.54443177289113,0.421,0.053,1,"1","Klhl24"
"Mrpl24",0.00148911082527675,3.62610455964539,0.316,0.026,1,"1","Mrpl24"
"Lzts1",0.00148911082527675,3.76258432100885,0.316,0.026,1,"1","Lzts1"
"Aktip",0.00148911082527675,3.4834506048149,0.316,0.026,1,"1","Aktip"
"Gria1",0.00148911082527675,5.44275746329687,0.316,0.026,1,"1","Gria1"
"Sft2d1",0.00148911082527675,3.51261655896647,0.316,0.026,1,"1","Sft2d1"
"Cdc26",0.00151244373894709,0.861178949599935,0.579,0.132,1,"1","Cdc26"
"Foxn3",0.00152124372231724,1.00164550255717,0.474,0.079,1,"1","Foxn3"
"Camk2n2",0.00152124372231724,1.50256842227633,0.474,0.079,1,"1","Camk2n2"
"Neurod2",0.00152444566849466,1.71992755915499,0.579,0.158,1,"1","Neurod2"
"Tnrc18",0.00153111362887867,1.98425791160053,0.526,0.132,1,"1","Tnrc18"
"Rc3h2",0.00158025316921117,0.676475824885064,0.632,0.132,1,"1","Rc3h2"
"Nudcd3",0.00158025316921117,0.997595881695794,0.632,0.132,1,"1","Nudcd3"
"Ptbp2",0.00159400175449251,0.739165513135338,0.737,0.211,1,"1","Ptbp2"
"Prmt1",0.00162333187823961,1.11811299153396,0.842,0.316,1,"1","Prmt1"
"Ddx6",0.00162403604391562,1.03668642396292,0.632,0.158,1,"1","Ddx6"
"Sbno1",0.00162755361449109,0.977464520094364,0.579,0.132,1,"1","Sbno1"
"Mettl23",0.00162755361449109,0.71495595693386,0.579,0.132,1,"1","Mettl23"
"Pou3f3",0.00162965367025991,0.82725384334762,0.842,0.263,1,"1","Pou3f3"
"Mtss1",0.00164330138107689,1.17100491473606,0.526,0.105,1,"1","Mtss1"
"Zfp281",0.00164894274309265,3.76199142643132,0.316,0.026,1,"1","Zfp281"
"Ctnnbl1",0.00164894274309265,3.49575597815228,0.316,0.026,1,"1","Ctnnbl1"
"Nans",0.00164894274309265,3.21026022196214,0.316,0.026,1,"1","Nans"
"Cbx4",0.00164894274309265,3.35568632718074,0.316,0.026,1,"1","Cbx4"
"Bach1",0.00164894274309265,4.1283696257265,0.316,0.026,1,"1","Bach1"
"Dab1",0.00165029657979992,1.92908048769231,0.526,0.132,1,"1","Dab1"
"Zranb1",0.00165039403710241,0.612447496991374,0.474,0.079,1,"1","Zranb1"
"Parp6",0.00165039403710241,1.79177749539396,0.474,0.079,1,"1","Parp6"
"Ppm1a",0.00166604876905975,2.20635781793628,0.474,0.105,1,"1","Ppm1a"
"Chd6",0.00168327983851683,1.31504701250551,0.684,0.211,1,"1","Chd6"
"Enc1",0.00169755125819138,0.462367909224439,0.632,0.132,1,"1","Enc1"
"Ccdc28b",0.00172669073792116,3.10209626726853,0.368,0.053,1,"1","Ccdc28b"
"D5Ertd579e",0.0017591563202947,0.95250490888138,0.579,0.158,1,"1","D5Ertd579e"
"Rbm17",0.00177380596693167,1.63892230058569,0.526,0.105,1,"1","Rbm17"
"Lin7c",0.00177380596693167,0.860301500180115,0.526,0.105,1,"1","Lin7c"
"Klhl9",0.00177380596693167,1.15466961545589,0.526,0.105,1,"1","Klhl9"
"Pcm1",0.00177380596693167,0.500732830124257,0.526,0.105,1,"1","Pcm1"
"Birc6",0.00177380596693167,0.602888244760015,0.526,0.105,1,"1","Birc6"
"Ythdf2",0.00178956603387013,1.657832364955,0.474,0.079,1,"1","Ythdf2"
"Kmt2c",0.00178956603387013,1.60562094150615,0.474,0.079,1,"1","Kmt2c"
"Actl6b",0.00178956603387013,1.5058309303117,0.474,0.079,1,"1","Actl6b"
"Frmd4b",0.00178956603387013,1.14419177590407,0.474,0.079,1,"1","Frmd4b"
"C130071C03Rik",0.00181845474912194,0.854555335078998,0.737,0.211,1,"1","C130071C03Rik"
"Rusc2",0.0018244275641062,3.60622619040325,0.316,0.026,1,"1","Rusc2"
"Yrdc",0.0018244275641062,3.51142975051689,0.316,0.026,1,"1","Yrdc"
"Sox5",0.0018244275641062,3.97315049411971,0.316,0.026,1,"1","Sox5"
"Nfyb",0.0018244275641062,4.28750985718781,0.316,0.026,1,"1","Nfyb"
"Eipr1",0.0018244275641062,3.70092671037387,0.316,0.026,1,"1","Eipr1"
"Tsc2",0.0018244275641062,3.51318508212148,0.316,0.026,1,"1","Tsc2"
"Mllt3",0.00188231484531099,2.21094096972401,0.526,0.158,1,"1","Mllt3"
"Phf14",0.00188388319094767,0.740843055172907,0.684,0.184,1,"1","Phf14"
"Sltm",0.00188388319094767,1.33091267116946,0.684,0.184,1,"1","Sltm"
"Dlg4",0.0019137778290032,1.14861843784923,0.526,0.105,1,"1","Dlg4"
"Anp32a",0.00192259852352035,1.21954595021251,0.684,0.211,1,"1","Anp32a"
"2900097C17Rik",0.00193945280141181,1.18224008915565,0.474,0.079,1,"1","2900097C17Rik"
"Bcl9",0.00193945280141181,1.24444848522532,0.474,0.079,1,"1","Bcl9"
"Clcn4",0.00193945280141181,1.37609389732034,0.474,0.079,1,"1","Clcn4"
"Syne2",0.00193945280141181,1.43042784242381,0.474,0.079,1,"1","Syne2"
"Atrx",0.00195367475766008,0.565881183943124,0.895,0.289,1,"1","Atrx"
"Lrrc4b",0.0020018275442209,1.36066933820183,0.632,0.158,1,"1","Lrrc4b"
"Ndufa5",0.0020018275442209,2.00479760453423,0.579,0.184,1,"1","Ndufa5"
"Dynlrb1",0.00200478132535522,1.39031242525411,0.737,0.237,1,"1","Dynlrb1"
"Gsk3a",0.00201692848465673,3.37937630542672,0.316,0.026,1,"1","Gsk3a"
"Rnf146",0.00201692848465673,3.29086602703548,0.316,0.026,1,"1","Rnf146"
"Hes6",0.00202298844464786,0.393843171761598,0.579,0.132,1,"1","Hes6"
"Cmpk1",0.00206382840920136,1.45611843715192,0.526,0.105,1,"1","Cmpk1"
"Usp29",0.00210078824043647,0.899296218902934,0.474,0.079,1,"1","Usp29"
"Herc1",0.00210511063114819,2.09291127461991,0.474,0.105,1,"1","Herc1"
"Scand1",0.00214624245399322,0.784122548793141,0.789,0.263,1,"1","Scand1"
"Rbm25",0.00220705926093753,0.945825573221258,0.895,0.289,1,"1","Rbm25"
"Ttc28",0.00220998950688832,1.52782750539018,0.684,0.237,1,"1","Ttc28"
"2410002F23Rik",0.00222460269518356,1.19158168033905,0.526,0.105,1,"1","2410002F23Rik"
"Rabgap1l",0.00222790944818403,3.09283424877662,0.316,0.026,1,"1","Rabgap1l"
"Cd1d1",0.00222790944818403,3.29947873296849,0.316,0.026,1,"1","Cd1d1"
"Gba2",0.00222790944818403,3.41164642103654,0.316,0.026,1,"1","Gba2"
"Zfp467",0.00222790944818403,3.28673099541985,0.316,0.026,1,"1","Zfp467"
"Arhgap17",0.00222790944818403,3.27550981486868,0.316,0.026,1,"1","Arhgap17"
"Ntm",0.00222790944818403,2.9365158843248,0.316,0.026,1,"1","Ntm"
"Anapc16",0.00226109747631691,2.60291112549011,0.368,0.053,1,"1","Anapc16"
"Spcs1",0.00227356692889975,1.95051738773059,0.474,0.105,1,"1","Spcs1"
"Kifap3",0.00227434890438712,1.39330023413416,0.474,0.079,1,"1","Kifap3"
"Ap2a2",0.00227434890438712,0.368890756320433,0.474,0.079,1,"1","Ap2a2"
"Mplkip",0.00227434890438712,0.707239529227638,0.474,0.079,1,"1","Mplkip"
"Fbxo11",0.00227434890438712,1.0294014016595,0.474,0.079,1,"1","Fbxo11"
"Pak1",0.00230912824163287,2.03598402297739,0.421,0.079,1,"1","Pak1"
"Slc38a1",0.00239678062093957,1.23037221513145,0.526,0.105,1,"1","Slc38a1"
"Polb",0.00245429089114009,2.21874568126205,0.474,0.105,1,"1","Polb"
"Smarcc2",0.00245879176898813,0.867094114776867,0.632,0.158,1,"1","Smarcc2"
"Gdap1",0.00245894081058879,2.82689410916166,0.316,0.026,1,"1","Gdap1"
"Mark1",0.00245894081058879,3.10320408294338,0.316,0.026,1,"1","Mark1"
"Arhgef9",0.00245894081058879,2.76233726514132,0.316,0.026,1,"1","Arhgef9"
"Tet2",0.00245894081058879,2.80169253752374,0.316,0.026,1,"1","Tet2"
"Oma1",0.00245894081058879,2.66153190544187,0.316,0.026,1,"1","Oma1"
"Cbarp",0.00245894081058879,2.98492018040773,0.316,0.026,1,"1","Cbarp"
"Ccdc25",0.00245894081058879,3.13883735420492,0.316,0.026,1,"1","Ccdc25"
"Ccdc127",0.00245894081058879,2.82130842904609,0.316,0.026,1,"1","Ccdc127"
"Sel1l",0.00245894081058879,2.58287539116913,0.316,0.026,1,"1","Sel1l"
"Nrip1",0.00245894081058879,2.87719798018915,0.316,0.026,1,"1","Nrip1"
"Cdc23",0.00245894081058879,3.02090392272434,0.316,0.026,1,"1","Cdc23"
"Syt7",0.00245894081058879,2.6338408764619,0.316,0.026,1,"1","Syt7"
"Rpgr",0.00247046471104775,2.028956057296,0.368,0.053,1,"1","Rpgr"
"Eif2s3x",0.00247046471104775,2.387997060334,0.368,0.053,1,"1","Eif2s3x"
"Scamp3",0.00247046471104775,2.32958096854768,0.368,0.053,1,"1","Scamp3"
"Tspyl1",0.00247046471104775,1.20173804792363,0.368,0.053,1,"1","Tspyl1"
"Asna1",0.00247046471104775,1.94296593620809,0.368,0.053,1,"1","Asna1"
"Cyb5b",0.00247046471104775,2.41366221692968,0.368,0.053,1,"1","Cyb5b"
"Midn",0.00258107849482786,0.596074455784443,0.526,0.105,1,"1","Midn"
"Rtn4",0.00267686564912946,1.39708745513279,0.579,0.158,1,"1","Rtn4"
"Rchy1",0.00269743304106247,2.08046535825679,0.368,0.053,1,"1","Rchy1"
"Slc6a6",0.00269743304106247,1.41465493874366,0.368,0.053,1,"1","Slc6a6"
"Pitpnc1",0.00269743304106247,2.64244720564771,0.368,0.053,1,"1","Pitpnc1"
"Kctd18",0.00271170515665742,1.80777242437294,0.316,0.026,1,"1","Kctd18"
"Ahctf1",0.00271170515665742,2.13903797893692,0.316,0.026,1,"1","Ahctf1"
